Country,Country Number ,Air Particles,Unsafe Water,,
Australia,1,0.624 ,0.015 ,,
Austria,2,2.479 ,0.004 ,,
Belgium,3,2.904 ,0.024 ,,
Canada,4,0.948 ,0.015 ,,
Chile,5,3.248 ,0.067 ,,
Colombia,6,2.730 ,0.117 ,,
Czech Republic,7,5.836 ,0.067 ,,
Denmark,8,2.264 ,0.017 ,,
Estonia,9,1.191 ,0.008 ,,
Finland,10,0.556 ,0.002 ,,
France,11,1.939 ,0.012 ,,
Germany,12,3.055 ,0.013 ,,
Greece,13,5.518 ,0.001 ,,
Hungary,14,7.815 ,0.083 ,,
Iceland,15,0.417 ,0.004 ,,
Ireland,16,0.906 ,0.003 ,,
Israel,17,2.596 ,0.015 ,,
Italy,18,3.966 ,0.009 ,,
Japan,19,2.904 ,0.041 ,,
Korea,20,3.708 ,0.025 ,,
Latvia,21,6.084 ,0.009 ,,
Lithuania,22,4.625 ,0.023 ,,
Luxembourg,23,1.177 ,0.006 ,,
Mexico,24,2.995 ,0.206 ,,
Netherlands,25,2.502 ,0.006 ,,
New Zealand,26,0.578 ,0.029 ,,
Norway,27,0.652 ,0.013 ,,
Poland,28,7.608 ,0.024 ,,
Portugal,29,2.146 ,0.027 ,,
Slovak Republic,30,6.400 ,0.008 ,,
Slovenia,31,3.817 ,0.005 ,,
Spain,32,1.874 ,0.012 ,,
Sweden,33,0.630 ,0.020 ,,
Switzerland,34,1.424 ,0.006 ,,
Turkey,35,5.376 ,0.064 ,,
United Kingdom,36,2.076 ,0.006 ,,
United States,37,1.276 ,0.010 ,,
,,,,,
